id,bid_month,system_time,real_lowest_price_time,real_lowest_price,real_lowest_price_from,real_lowest_price_to,bid_date,alert_price,avg_price,bid_people_num,bid_percent,license_num,lowest_price,lowest_price_time,lowest_price_time_order
617,201605,11:29:37,11:29:11,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
618,201605,11:29:38,11:29:10,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
619,201605,11:29:39,11:29:09,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
620,201605,11:29:40,11:29:08,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
621,201605,11:29:41,11:29:07,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
622,201605,11:29:42,11:29:06,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
623,201605,11:29:43,11:29:01,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
624,201605,11:29:44,11:29:35,84100,83800,84400,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
625,201605,11:29:45,11:29:27,84100,83800,84400,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
626,201605,11:29:46,11:29:31,84200,83900,84500,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
627,201605,11:29:47,11:29:45,84300,84000,84600,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
628,201605,11:29:48,11:29:38,84300,84000,84600,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
629,201605,11:29:49,11:29:32,84300,84000,84600,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
630,201605,11:29:50,11:29:47,84400,84100,84700,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
631,201605,11:29:51,11:29:45,84400,84100,84700,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
632,201605,11:29:52,11:29:45,84400,84100,84700,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
633,201605,11:29:53,11:29:50,84500,84200,84800,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
634,201605,11:29:54,11:29:47,84500,84200,84800,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
635,201605,11:29:55,11:29:53,84600,84300,84900,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
636,201605,11:29:56,11:29:55,84700,84400,85000,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
637,201605,11:29:57,11:29:55,84800,84500,85100,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
638,201605,11:29:58,11:29:57,84900,84600,85200,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
639,201605,11:29:59,11:29:55,84900,84600,85200,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
640,201605,11:30:00,11:29:58,85000,84700,85300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
482,201604,11:29:30,11:29:08,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
483,201604,11:29:31,11:29:07,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
484,201604,11:29:32,11:29:06,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
485,201604,11:29:33,11:29:04,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
486,201604,11:29:34,11:29:01,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
487,201604,11:29:35,11:28:58,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
488,201604,11:29:36,11:28:54,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
489,201604,11:29:37,11:28:50,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
490,201604,11:29:38,11:28:44,84000,83700,84300,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
491,201604,11:29:39,11:29:27,84100,83800,84400,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
492,201604,11:29:40,11:29:20,84100,83800,84400,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
493,201604,11:29:41,11:29:31,84200,83900,84500,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
494,201604,11:29:42,11:29:24,84200,83900,84500,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
495,201604,11:29:43,11:29:40,84300,84000,84600,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
496,201604,11:29:44,11:29:37,84300,84000,84600,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
497,201604,11:29:45,11:29:31,84300,84000,84600,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
498,201604,11:29:46,11:29:24,84300,84000,84600,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
499,201604,11:29:47,11:29:45,84400,84100,84700,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
500,201604,11:29:48,11:29:42,84400,84100,84700,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
501,201604,11:29:49,11:29:39,84400,84100,84700,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
502,201604,11:29:50,11:29:47,84500,84200,84800,2016-04-16,82800,85127,256897,4.60%,11829,85100,11:29:59,1396
